Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
244293_at	UQCRB					
244289_at	ZNF300P1					
244288_s_at	SIX3					
244287_at	SREK1					
244281_at	REXO1					
244280_at	LINC01013					
244279_at	SOBP					
244276_at	KLB					
244275_at	CISD2					
244272_s_at	TC2N					
244270_at	LOC102723809					
244269_at	LOC102723526					
244268_x_at	LOC646214					
244267_at	SATB1					
244266_at	AKR1C2					
244264_at	KLRG2					
244261_at	IFNLR1					
244259_s_at	ZNF91					
244256_at	CACNA1E					
244255_at	LOC286114					
244252_at	LOC399884					
244251_at	LCP2					
244250_at	ANXA6					
244248_at	TTC27					
244246_at	MIPOL1					
244245_at	ANKRD9					
244244_at	CD300LG					
244243_at	FAM230B					
244237_at	FLJ90680					
244235_at	IVNS1ABP					
244233_at	TPGS2					
244229_at	PARVG					
244227_at	SYT6					
244225_x_at	LMNA					
244224_x_at	LYNX1					
244209_at	LBX1-AS1					
244206_at	ZFAND4					
244205_at	ALAS2					
244199_at	TWF1					
244198_at	RANBP17					
244194_at	ADAM22					
244193_at	DNAJC22					
244191_at	RPLP1					
244190_at	THAP5					
244189_at	TTC28-AS1					
244183_x_at	PCDHB3					
244180_at	ZNF793					
244178_at	COMMD7					
244177_at	ING1					
244175_at	LIN28B-AS1					
244174_at	LOC101926913					
244173_at	MIS18BP1					
244171_at	MKLN1					
244170_at	RAB3C					
244168_s_at	ULK4					
244166_at	APLN					
244165_at	FAM208B					
244164_at	FAM223B					
244163_at	SEMA3A					
244155_x_at	TOR2A					
244154_at	DDHD1					
244153_at	ZNF207					
244152_at	IQCJ-SCHIP1-AS1					
244151_at	SMLR1					
244149_at	MYL9					
244146_at	DTWD1					
244144_at	SYNE1					
244142_at	DTNA					
243948_at	ZC3H14					
243946_at	SMOC2					
243945_at	TRIM2					
243943_x_at	C6orf52					
243940_at	TSHZ2					
243938_x_at	DNAH5					
243937_x_at	AGAP6					
243935_at	FRAS1					
243934_at	ODF3B					
243930_x_at	KRR1					
243928_s_at	ABCC4					
243927_x_at	KIAA1429					
243924_at	LINC00665					
243923_at	LOC101928767					
243917_at	CLIC5					
243916_x_at	UBLCP1					
243914_at	EHMT2					
243912_x_at	APOBEC3F					
243910_x_at	CAND1					
243909_x_at	GUSBP4					
243907_at	GREB1L					
243905_at	LINC00944					
243904_at	STXBP5					
243901_at	ALDOB					
243900_at	WDR38					
243896_at	CFAP43					
243894_at	SLC41A2					
243893_at	KCNC3					
243887_at	MRPL30					
243884_at	TEX26					
243883_at	MMP15					
243881_at	SHC3					
243880_at	GOSR2					
243875_at	CCDC158					
243873_at	LOC101929459					
243871_at	LOC100130476					
243868_at	RFX3					
243864_at	CCDC80					
243863_at	ZCWPW2					
243862_at	RASEF					
243861_at	FNIP1					
243857_at	MORF4L2					
243856_at	LANCL3					
243852_at	LUC7L2					
243849_at	TMEM37					
243845_at	HSPD1					
243843_at	N4BP2L1					
243841_at	SYNE2					
243840_at	CLSPN					
243836_at	UNC80					
243835_at	ZDHHC21					
243834_at	TNRC6A					
243833_at	UNC5A					
243831_at	MAPK6					
243829_at	BRAF					
243825_at	BCL6B					
243824_at	LINC01410					
243821_at	MRPS31					
243818_at	SFTA1P					
243816_at	ZNF70					
243815_at	PGBD4					
243813_at	LINC00968					
243812_at	IFT27					
243811_at	HOXB1					
243809_at	HELQ					
243807_at	NCOA7					
243805_at	CCBE1					
243804_at	MTMR7					
243803_at	C11orf97					
243802_at	DNAH12					
243801_x_at	MRPL30					
243800_at	NR1H4					
243799_x_at	ANGPTL3					
243797_at	STK17B					
243795_s_at	LINC01191					
243793_at	AHDC1					
243792_x_at	PTPN13					
243790_at	ZNF585A					
243786_at	ZDHHC20					
243785_at	LOC100272217					
243784_s_at	LOC100272217					
87100_at	ABHD2					
823_at	CX3CL1					
81737_at	LOC100505915					
79005_at	SLC35E1					
78383_at	TOPORS-AS1					
78330_at	ZNF335					
78047_s_at	MMP24-AS1					
77508_r_at	RABEP2					
76897_s_at	FKBP15					
74694_s_at	RABEP2					
71933_at	WNT6					
65884_at	MAN1B1					
65770_at	RHOT2					
65718_at	ADGRA2					
65635_at	ENGASE					
65630_at	TMEM80					
65591_at	WDR48					
65588_at	SNHG17					
65521_at	UBE2D4					
65517_at	AP1M2					
65493_at	HEATR6					
65472_at	C2orf68					
65438_at	TLDC1					
65086_at	YIPF2					
64942_at	GPR153					
64900_at	TMEM231					
64899_at	PLPPR2					
64883_at	MOSPD2					
64488_at	IRGQ					
64486_at	CORO1B					
64440_at	IL17RC					
64438_at	OGFOD3					
64432_at	MAPKAPK5-AS1					
64418_at	SYNRG					
64408_s_at	CALML4					
64371_at	SUGP2					
63825_at	ABHD2					
635_s_at	PPP2R5B					
244841_at	SEC24A					
244840_x_at	DOCK4					
244839_at	TTN					
244835_at	C16orf52					
244834_at	RSG1					
244833_at	CCDC63					
244830_at	RASIP1					
244829_at	LINC00518					
244828_x_at	NAF1					
244825_at	SHROOM4					
244824_at	LINC01563					
244823_at	LOC100129034					
244822_at	GART					
244819_x_at	PSPH					
244818_at	ZNF780B					
244817_at	CARS2					
244814_at	UGGT1					
244811_at	PHIP					
244808_at	GRAMD1A					
244804_at	SQSTM1					
244801_at	PSMB7					
244797_at	LINC01159					
244795_at	UQCC1					
244790_at	MTCP1					
244789_at	TEX36					
244785_at	LOC101929660					
244784_at	DHX57					
244783_at	YAF2					
244782_at	PPP3R2					
244780_at	SGPP2					
244779_at	ZDHHC2					
244777_at	DCP2					
244774_at	PHACTR2					
244771_at	KBTBD12					
244768_at	DYNC1H1					
244767_at	FRA10AC1					
244764_at	HIVEP3					
244763_at	MTRF1					
244761_at	C5orf63					
244759_x_at	RNF207					
244758_at	ZBED9					
244756_at	ANKRD13D					
244755_at	XPR1					
244752_at	ZNF438					
244751_at	PCP2					
244749_at	LOC101927204					
244747_at	NPNT					
